iter	Passed	Remaining
932	29647	2129
933	29679	2097
934	29709	2065
935	29738	2033
936	29770	2001
937	29802	1969
938	29832	1937
939	29861	1906
940	29894	1874
941	29930	1842
942	29961	1811
943	29994	1779
944	30029	1747
945	30064	1716
946	30094	1684
947	30127	1652
948	30159	1620
949	30188	1588
950	30222	1557
951	30251	1525
952	30286	1493
953	30319	1461
954	30354	1430
955	30383	1398
956	30419	1366
957	30448	1334
958	30475	1302
959	30505	1271
960	30535	1239
961	30561	1207
962	30590	1175
963	30620	1143
964	30650	1111
965	30681	1079
966	30715	1048
967	30748	1016
968	30775	984
969	30806	952
970	30839	921
971	30871	889
972	30904	857
973	30938	825
974	30969	794
975	31007	762
976	31051	731
977	31081	699
978	31110	667
979	31140	635
980	31171	603
981	31203	571
982	31236	540
983	31266	508
984	31304	476
985	31337	444
986	31369	413
987	31404	381
988	31449	349
989	31501	318
990	31539	286
991	31587	254
992	31620	222
993	31656	191
994	31685	159
995	31716	127
996	31748	95
997	31778	63
998	31806	31
999	31835	0
